Name,Orbit_Period,Sideral_Period,Gravity,PTOTAL,DUSTA,ARC2_PHO,TAURAT,BT_Min,BT_Max,BT_Avg,Radius,Geom_Alb,Dis_AU,Orb_Radius,Mut_Period
Mercury,1407.5088,0.2408467,3.7,0,-999,0,-999,100,700,449,2439.7,0.106,0.39,-999,-999
Venus,5832.4488,0.61519726,8.87,9.30E+09,-999,0,-999,328,328,328,6051.8,0.65,0.723,-999,-999
Earth,23.9345,1.0000174,9.80665,1.01E+05,-999,0,-999,279,299,289,6371,0.367,1,-999,-999
Mars,24.623,1.8808476,3.711,546,0.9,0.5,0.22,160,280,220,3389.5,0.15,1.524,-999,-999
Jupiter,9.9288,11.862615,24.79,-999,-999,-999,-999,127,127,127,69911,0.52,5.203,-999,-999
Saturn,10.632,29.447498,10.44,-999,-999,-999,-999,85,85,85,58232,0.47,9.555,-999,-999
Uranus,17.2399,84.016846,8.69,-999,-999,-999,-999,64,64,64,25362,0.51,19.2,-999,-999
Neptune,16.11,164.79132,11.15,-999,-999,-999,-999,51,51,51,24622,0.41,30.33,-999,-999
Pluto,153.2923,247.92065,0.58,1,-999,0,-999,33,55,44,1151,0.3,39.5,-999,-999
Moon,655.718,1,1.622,0,-999,0,-999,-999,-999,-999,1737,-999,-999,384400,29.53
Phobos,7.6538,1.881,0.0057,0,-999,0,-999,-999,-999,-999,11.2662,-999,-999,9376,0.3189
Deimos,30.312,1.881,0.003,0,-999,0,-999,-999,-999,-999,6.2,-999,-999,23463,1.263
Io,42.45930686,11.862615,1.796,0,-999,0,-999,-999,-999,-999,1822,-999,-999,421700,1.77
Europa,85.2,11.862615,1.315,0,-999,0,-999,-999,-999,-999,1560.8,-999,-999,670900,3.55
Ganymede,171.6,11.862615,1.428,0,-999,0,-999,-999,-999,-999,2634.1,-999,-999,1070000,7.15
Callisto,400.56,11.862615,1.236,0,-999,0,-999,-999,-999,-999,"2,410.30",-999,-999,1882700,16.69
Enceladus,32.88,29.447498,0.113,0,-999,0,-999,-999,-999,-999,252.1,-999,-999,237948,1.37
Titan,382.68,29.447498,1.352,1.50E+05,-999,-999,-999,-999,-999,-999,"2,575.50",-999,-999,1221870,15.945
Iapetus,1903.716,29.447498,0.223,0,-999,0,-999,-999,-999,-999,734.5,-999,-999,3560820,79.3215
Triton,-141.044496,164.79132,0.779,0,-999,0,-999,-999,-999,-999,1353.4,-999,-999,354759,-5.876854
Charon,153.2935296,248.1,0.288,0,-999,0,-999,-999,-999,-999,606,-999,-999,19571,6.3872304
